id001,0,2,5,5,0,2,6,12,0,2,7,9,0,2,8,7,1,0,6,5,1,0,7,7,1,0,8,10,1,2,4,88,1,2,5,121,1,2,6,41,1,2,7,21,1,2,8,30,1,2,9,9,1,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id002,0,0,6,10,0,0,7,11,0,0,8,3,0,2,4,34,0,2,5,94,0,2,6,46,0,2,7,22,0,2,8,32,0,2,9,2,0,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id003,0,0,4,6,0,0,5,12,0,0,6,16,0,0,7,14,0,0,8,7,0,2,4,62,0,2,5,50,0,2,6,33,0,2,7,20,0,2,8,1,1,2,4,29,1,2,5,14,1,2,6,7,1,2,7,11,1,2,8,14,1,2,9,2,1,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id004,0,2,6,6,0,2,7,6,0,2,8,12,1,2,4,8,1,2,5,63,1,2,6,54,1,2,7,34,1,2,8,26,1,2,9,20,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id005,0,0,9,3,0,2,4,13,0,2,5,30,0,2,6,63,0,2,7,11,0,2,8,29,0,2,9,29,1,2,5,2,1,2,8,3,1,2,9,7,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id006,0,0,6,2,0,0,7,6,0,2,4,18,0,2,5,9,0,2,6,13,0,2,7,7,0,3,6,3,1,0,4,6,1,0,5,1,1,0,6,11,1,0,7,9,1,1,7,2,1,2,3,55,1,2,4,54,1,2,5,25,1,2,6,23,1,2,7,4,1,2,8,10,1,2,9,2,1,2,10,2,1,3,5,4,1,3,6,1,1,3,7,3,,,,,,,,,,,,,,,,,,,,
id007,0,2,3,2,0,2,4,19,0,2,5,23,0,2,6,9,0,2,7,9,0,2,8,19,1,2,3,26,1,2,4,49,1,2,5,38,1,2,6,40,1,2,7,9,1,2,8,29,1,2,9,8,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id008,0,0,7,4,0,0,8,2,0,0,9,4,0,2,5,6,0,2,6,12,0,2,7,9,0,2,8,7,0,2,9,4,1,0,4,2,1,0,5,16,1,0,6,17,1,0,7,5,1,0,8,14,1,2,4,16,1,2,5,87,1,2,6,38,1,2,7,21,1,2,8,28,1,2,9,7,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id009,0,0,4,6,0,0,5,8,0,0,6,8,0,0,7,15,0,0,8,15,0,0,9,5,0,2,4,2,0,2,5,17,0,2,6,20,0,2,7,9,0,2,8,3,1,0,4,9,1,0,5,15,1,0,6,17,1,0,7,10,1,0,8,5,1,0,9,3,1,2,4,7,1,2,5,13,1,2,6,15,1,2,7,16,1,2,8,10,1,2,9,8,1,2,10,2,,,,,,,,,,,,,,,,
id010,1,2,5,20,1,2,6,72,1,2,7,60,1,2,8,29,1,2,9,15,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
